  0.0000000000E+00  0.4414566432E-02  0.1397696802E-01 3
  0.1000000000E-01  0.8736993690E-02  0.1397680928E-01 3
  0.2000000000E-01  0.1672023433E-01  0.1397667864E-01 3
  0.3000000000E-01  0.3110280589E-01  0.1397651585E-01 3
  0.4000000000E-01  0.4481024924E-01  0.1397637579E-01 3
  0.5000000000E-01  0.4482373704E-01  0.1397622103E-01 3
  0.6000000000E-01  0.4482966259E-01  0.1397606596E-01 3
  0.7000000000E-01  0.4483330191E-01  0.1397592707E-01 3
  0.8000000000E-01  0.4483634748E-01  0.1397575747E-01 3
  0.9000000000E-01  0.4483934643E-01  0.1397561887E-01 3
  0.1000000000E+00  0.4484247896E-01  0.1397545097E-01 3
  0.1100000000E+00  0.4484580741E-01  0.1397530980E-01 3
  0.1200000000E+00  0.4484935586E-01  0.1397514683E-01 3
  0.1300000000E+00  0.4485313567E-01  0.1397499276E-01 3
  0.1400000000E+00  0.4485715371E-01  0.1397484535E-01 3
  0.1500000000E+00  0.4486141490E-01  0.1397467740E-01 3
  0.1600000000E+00  0.4486592316E-01  0.1397453455E-01 3
  0.1700000000E+00  0.4487068161E-01  0.1397436495E-01 3
  0.1800000000E+00  0.4487569270E-01  0.1397421958E-01 3
  0.1900000000E+00  0.4488095827E-01  0.1397405556E-01 3
  0.2000000000E+00  0.4488647954E-01  0.1397390365E-01 3
  0.2100000000E+00  0.4489225717E-01  0.1397374936E-01 3
